name,address,zip_code,city,state,latitude,longitude,ratings
City's Bistro,695 Central Ave,33701,Saint Petersburg,FL,27.7714065,-82.6437021,5
Elias Deli & Produce Market,3200 34th St N,33713,Saint Petersburg,FL,27.8013117,-82.679839,5
European Goodies and Delicatessen,116 N Main Ave,33765,Clearwater,FL,27.96715,-82.748889,5
Homestyle Barbecue,1701 N Fort Harrison,33755,Clearwater,FL,27.9825157,-82.7963561,5
InnoVision Eye Care & Eye Wear,"2643 Gulf To Bay Blvd, Ste 1520",33759,Clearwater,FL,27.95747421,-82.7294346,5
K Club Bar & Bistro,2675 Ulmerton Rd,33762,Clearwater,FL,27.89464993,-82.66963252,5
Mangroves Cafe,"13577 Feather Sound Dr, Ste 180",33762,Clearwater,FL,27.8955257,-82.660791,5
My Favorite Art Place,1750 N Hercules Ave,33765,Clearwater,FL,27.9842343,-82.7552151,5
PB & Jelly Deli,,33701,Saint Petersburg,FL,27.7696063,-82.6321376,5
Plant Love Ice Cream,953 Central Ave,33705,Saint Petersburg,FL,27.7713117,-82.6479817,5
Salon Sardis,"406 11th Ave N, Ste 3",33701,Saint Petersburg,FL,27.7833365,-82.6389541,5
Smiley's Deli,3441 Central Ave,33713,Saint Petersburg,FL,27.7712796,-82.680339,5
Southside Coffee,3922 6th St S,33705,Saint Petersburg,FL,27.7328984,-82.6405685,5
St Petersbark,2435 9th St N,33704,Saint Petersburg,FL,27.794664,-82.6464241,5
Sugar Loaf Emporium,6115 Park Blvd N,33701,Saint Petersburg,FL,27.839635,-82.718818,5
Sweetwood Bakery,1679 Drew St,33755,Clearwater,FL,27.9677492,-82.7672802,5
The Bungaleaux on Central,2635 Central Ave,33713,Saint Petersburg,FL,27.7712404,-82.6692931,5
Tory's Cafe,1266 S Highland Ave,33756,Clearwater,FL,27.9506902,-82.7755295,5
